"row_id","path","date","views","pathTail","story_id","headline","teaser","neutral","happy","sad","fear","anger","disgust","surprise","valence","primary_emotion"
"46","/new-york/story/crown-heights-prospect-heights-prospect-lefferts-gardens/crown-heights/yearlong-crown-heights-rezoning-fight-activists-earn-respect-ire","2015-04-13","322","yearlong-crown-heights-rezoning-fight-activists-earn-respect-ire","610323","In Yearlong Crown Heights Rezoning Fight, Activists Earn Respect and Ire","<p>Movement to Protect the People and&nbsp;its leader Alicia Boyd have effectively shut down Brooklyn&#39;s CB9.</p>","0.00","0.00","0.11","0.11","0.75","0.34","0.15","-1","7"
"48","/new-york/story/downtown/civic-center/de-blasio-budget-doesnt-include-funding-for-1000-new-police-officers","2015-04-13","257","de-blasio-budget-doesnt-include-funding-for-1000-new-police-officers","613266","De Blasio Budget Doesn't include Funding For 1,000 New Police Officers","<p>The mayor said his $78.3 billion budget prepared the city for future downturns.</p>","0.00","0.23","0.00","0.00","0.00","0.05","0.00","1","1"
"49","/new-york/story/downtown/civic-center/de-blasio-signs-law-banning-use-of-credit-checks-hiring-decisions","2015-04-13","136","de-blasio-signs-law-banning-use-of-credit-checks-hiring-decisions","612908","De Blasio Signs Law Banning Use of Credit Checks in Hiring Decisions","<p>Brooklyn Councilman Brad Lander called the legislation the &quot;toughest&quot; protections in the country.</p>","0.00","0.00","0.08","0.08","0.00","0.00","0.00","-1","7"
"50","/new-york/story/downtown/civic-center/deadlocked-etan-patz-jury-says-deliberations-were-tough-but-not-contentious","2015-04-13","442","deadlocked-etan-patz-jury-says-deliberations-were-tough-but-not-contentious","613690","Deadlocked Etan Patz Jury Says Deliberations Were Tough But Not Contentious","<p>Afters weeks of deliberations, a mistrial was declared in the Etan Patz Case.</p>","0.00","0.05","0.00","0.00","0.00","0.00","0.00","-1","1"
"51","/new-york/story/downtown/civic-center/glenwood-management-link-skelos-silver-criminal-cases-sources-say","2015-04-13","257","glenwood-management-link-skelos-silver-criminal-cases-sources-say","612652","Glenwood Management Link Skelos and Silver Criminal Cases, Sources Say","<p>The allegations against Skelos and Silver may have irrevocably damaged rent protection laws.</p>","0.00","0.04","0.34","0.00","0.04","0.12","0.00","-1","2"
"52","/new-york/story/downtown/civic-center/judge-sends-deadlocked-patz-jury-back-for-more-deliberations-second-time","2015-04-13","313","judge-sends-deadlocked-patz-jury-back-for-more-deliberations-second-time","611991","Judge Sends Deadlocked Patz Jury Back for More Deliberations a Second Time","<p>Jurors said they could not reach a unanimous verdict after 14 days of deliberations.</p>","0.00","0.00","0.05","0.00","0.00","0.00","0.00","-1","7"
"53","/new-york/story/downtown/civic-center/stolen-gun-from-georgia-used-shooting-of-nypd-officer-police-say","2015-04-13","111","stolen-gun-from-georgia-used-shooting-of-nypd-officer-police-say","612208","Stolen Gun From Georgia Used in Shooting of NYPD Officer, Police Say","<p>The gun was stolen&nbsp;with 23 other weapons from a bait and tackle shop in Perry, Georgia, police said.</p>","0.00","0.12","0.00","0.00","0.00","0.13","0.00","-1","5"
"54","/new-york/story/downtown/financial-district/man-lifts-womans-skirt-snaps-photo-fulton-street-station-police","2015-04-13","608","man-lifts-womans-skirt-snaps-photo-fulton-street-station-police","613536","Man Lifts Woman's Skirt and Snaps Photo in Fulton Street Station: Police","<p>A man lifted a woman&#39;s skirt and took a photo of her in&nbsp;the Fulton Street station Thursday, NYPD&nbsp;said.</p>","0.17","0.00","0.00","0.00","0.00","0.00","0.00","0","0"
"55","/new-york/story/east-new-york-brownsville/east-new-york/unidentified-woman-found-unconscious-beaten-on-brooklyn-street","2015-04-13","195","unidentified-woman-found-unconscious-beaten-on-brooklyn-street","613171","Unidentified Woman Found Unconscious and Beaten on Brooklyn Street","<p>She had head and facial injuries along with cuts and bruises covering her body, police said.</p>","0.00","0.03","0.00","0.00","0.06","0.00","0.03","-1","4"
"56","/new-york/story/east-village-lower-east-side/lower-east-side/cake-shop-celebrates-10-year-anniversary-as-it-searches-for-new-investors","2015-04-13","780","cake-shop-celebrates-10-year-anniversary-as-it-searches-for-new-investors","613129","Cake Shop Celebrates 10-Year Anniversary as it Searches for New Investors","<p>The venue is hosting a monthlong &quot;house show,&quot; the owners said.</p>","0.00","0.00","0.00","0.00","0.00","0.13","0.00","-1","7"
"57","/new-york/story/east-village-lower-east-side/lower-east-side/greek-jewish-synagogue-hosts-first-ever-festival-on-lower-east-side","2015-04-13","107","greek-jewish-synagogue-hosts-first-ever-festival-on-lower-east-side","611673","Greek Jewish Synagogue Hosts First-Ever Festival on Lower East Side","<p>The festival is among several street fairs coming to the Lower East Side and East Village this month.</p>","0.00","0.00","0.15","0.00","0.00","0.00","0.00","-1","7"
"58","/new-york/story/east-village-lower-east-side/lower-east-side/les-tenant-leader-named-woman-of-distinction-for-community-work","2015-04-13","223","les-tenant-leader-named-woman-of-distinction-for-community-work","613500","LES Tenant Leader Named 'Woman of Distinction' for Community Work","<p>Smith Houses tenant association president Aixa Torres was recognized for her community involvement.</p>","0.00","0.00","0.00","0.02","0.00","0.00","0.00","-1","7"
"59","/new-york/story/east-village-lower-east-side/lower-east-side/map-see-which-restaurants-got-most-delivery-bike-violations","2015-04-13","115","map-see-which-restaurants-got-most-delivery-bike-violations","611245","MAP: See Which Restaurants Got the Most Delivery Bike Violations","<p>The most tickets were doled out in the East Village,&nbsp;Lower East Side and Upper East Side, the DOT said.</p>","0.00","0.00","0.15","0.03","0.00","0.00","0.00","-1","7"
"60","/new-york/story/east-village-lower-east-side/lower-east-side/middle-schoolers-play-ball-with-ex-nba-stars-les-mentorship-program","2015-04-13","233","middle-schoolers-play-ball-with-ex-nba-stars-les-mentorship-program","612432","Middle Schoolers Play Ball With Ex-NBA Stars in LES Mentorship Program","<p>Students play early morning basketball games with ex-NBA players Jayson Williams and Charles Oakley.</p>","0.00","0.03","0.01","0.01","0.00","0.08","0.00","-1","5"
"61","/new-york/story/east-village-lower-east-side/lower-east-side/robbers-steal-10k-at-gunpoint-from-les-travel-agency","2015-04-13","111","robbers-steal-10k-at-gunpoint-from-les-travel-agency","612887","Robbers Steal $10K at Gunpoint from LES Travel Agency","<p>One of the gunmen held his weapon against an employee&#39;s head and ordered him to open a safe, police said</p>","0.00","0.09","0.15","0.00","0.00","0.00","0.00","-1","2"
"62","/new-york/story/east-village-lower-east-side/lower-east-side/win-drinks-with-molly-ringwald-neil-gaiman-at-moth-auction","2015-04-13","482","win-drinks-with-molly-ringwald-neil-gaiman-at-moth-auction","613251","Win Drinks with Molly Ringwald and Neil Gaiman at The Moth Auction","<p>The online auction will run until May 12.</p>","0.00","0.00","0.00","0.01","0.00","0.00","0.00","-1","7"
"63","/new-york/story/forest-hills-rego-park-jamaica/forest-hills/parents-furious-that-city-has-no-fix-for-forest-hills-kindergarten-crisis","2015-04-13","197","parents-furious-that-city-has-no-fix-for-forest-hills-kindergarten-crisis","613380","Parents Furious That City Has No Fix for Forest Hills Kindergarten Crisis","<p>Dozens of Forest Hills kids are waitlisted and will be sent&nbsp;to schools further away, parents said.</p>","0.00","0.75","0.23","0.11","0.11","0.11","0.05","-1","1"
"64","/new-york/story/forest-hills-rego-park-jamaica/forest-hills/schools-subway-kiosks-security-cameras-win-funding-central-queens","2015-04-13","161","schools-subway-kiosks-security-cameras-win-funding-central-queens","612811","Schools, Subway Kiosks and Security Cameras Win Funding in Central Queens","<p>Nearly $700,000 will be allocated to pay for air conditioning at local schools.</p>","0.00","0.05","0.05","0.00","0.05","0.00","0.05","-1","7"
"65","/new-york/story/forest-hills-rego-park-jamaica/forest-hills/tree-giveaway-lets-forest-hills-residents-beautify-their-neighborhood","2015-04-13","401","tree-giveaway-lets-forest-hills-residents-beautify-their-neighborhood","613203","Tree Giveaway Lets Forest Hills Residents Beautify Their Neighborhood","<p>Some 200 free trees will be up for grabs during an event on May 17.</p>","0.00","0.10","0.18","0.00","0.18","0.00","0.18","-1","7"
"66","/new-york/story/fort-greene-dumbo/dumbo/independent-bookstore-looking-raise-80k-stay-afloat-dumbo","2015-04-13","248","independent-bookstore-looking-raise-80k-stay-afloat-dumbo","613186","Independent Bookstore Looking to Raise $80K to Stay Afloat in DUMBO","<p>P.S. Bookshop has been selling rare and used books on Front Street in DUMBO for nearly a decade.</p>","0.00","0.10","0.08","0.02","0.02","0.00","0.02","-1","1"
"67","/new-york/story/fort-greene-dumbo/fort-greene/snowden-artists-slapped-with-50-fine-as-bust-heads-gallery","2015-04-13","151","snowden-artists-slapped-with-50-fine-as-bust-heads-gallery","613020","Snowden Artists Slapped With $50 Fine as Bust Heads to Gallery","<p>Jeff Greenspan and Andrew Tider were issued summonses for being in the park after hours.</p>","0.00","0.09","0.23","0.11","0.11","0.11","0.04","-1","2"
"68","/new-york/story/greenwich-village-soho/greenwich-village/nyu-students-want-info-on-trustees-role-controversial-abu-dhabi-campus","2015-04-13","1183","nyu-students-want-info-on-trustees-role-controversial-abu-dhabi-campus","612060","NYU Students Want Info on Trustee's Role in Controversial Abu Dhabi Campus","<p>The CEO of a construction company at NYU&#39;s Abu Dhabi campus sits on the NYU Board of Trustees.</p>","0.00","0.00","0.15","0.06","0.00","0.00","0.00","-1","7"
"69","/new-york/story/greenwich-village-soho/soho/mistrial-declared-etan-patz-murder-case","2015-04-13","368","mistrial-declared-etan-patz-murder-case","612434","Mistrial Declared in Etan Patz Murder Case, 1 Juror Held Out for Acquittal","<p>Jurors couldn&#39;t reach a decision to convict or acquit Pedro Hernandez after three weeks of deliberation.</p>","0.00","0.00","0.04","0.00","0.00","0.00","0.00","-1","7"
"76","/new-york/story/harlem/central-harlem/6-children-sent-hospital-after-5th-grader-pepper-sprays-teacher-fdny","2015-04-13","848","6-children-sent-hospital-after-5th-grader-pepper-sprays-teacher-fdny","613247","6 Children Sent to Hospital After 5th Grader Pepper Sprays Teacher: FDNY","<p>Six people were taken to the hospital after a Harlem classroom filled with pepper spray, FDNY said.</p>","0.00","0.00","0.11","0.11","0.00","0.11","0.00","-1","7"
"77","/new-york/story/harlem/central-harlem/man-fatally-shot-head-harlem-police-say","2015-04-13","504","man-fatally-shot-head-harlem-police-say","613375","Teen Fatally Shot in the Head in Harlem, Police Say","<p>Deiondre Viera, 18, was shot near St. Nicholas Avenue and West 111th Street, police said.</p>","0.00","0.15","0.00","0.00","0.00","0.00","0.00","1","1"
"80","/new-york/story/harlem/central-harlem/teen-shot-during-fight-harlem-subway-station-police-say","2015-04-13","156","teen-shot-during-fight-harlem-subway-station-police-say","612665","Teen Shot During Fight in Harlem Subway Station, Police Say","<p>He was shot in the arm in the 110th Street subway station, police said.</p>","0.00","0.00","0.00","0.08","0.00","0.00","0.15","-1","7"
"81","/new-york/story/harlem/east-harlem/pop-up-enrollment-center-for-municipal-id-cards-comes-east-harlem","2015-04-13","123","pop-up-enrollment-center-for-municipal-id-cards-comes-east-harlem","612863","Pop-Up Enrollment Center for Municipal ID Cards Comes to East Harlem","<p>People will be able to apply for the city&#39;s free ID card at El Museo del Barrio from May 7 to May 23.</p>","0.00","0.23","0.11","0.11","0.05","0.11","0.05","-1","1"
"82","/new-york/story/harlem/west-harlem/west-harlem-northern-mexico-kids-come-together-through-art","2015-04-13","908","west-harlem-northern-mexico-kids-come-together-through-art","612830","West Harlem and Northern Mexico Kids Come Together Through Art","<p>Artistic Dreams International, an organization that gives free classes, will hold an auction on May 16.</p>","0.00","0.20","0.00","0.00","0.00","0.00","0.00","1","1"
"83","/new-york/story/jackson-heights-elmhurst/corona/man-beaten-with-baseball-bats-slashed-early-morning-attack-police","2015-04-13","752","man-beaten-with-baseball-bats-slashed-early-morning-attack-police","613187","Man Beaten with Baseball Bats and Slashed in Early-Morning Attack: Police","<p>The victim is in critical condition at Elmhurst Hospital, police said.</p>","0.00","0.03","0.11","0.11","0.06","0.06","0.05","-1","7"
"84","/new-york/story/jackson-heights-elmhurst/east-elmhurst/coyote-spotted-near-laguardia-airport-officials-say","2015-04-13","557","coyote-spotted-near-laguardia-airport-officials-say","613045","Coyote Spotted Near LaGuardia Airport, Officials Say","<p>The animal was spotted by a postal worker Thursday morning near 82nd Street and Ditmars Boulevard.</p>","0.00","0.15","0.00","0.00","0.00","0.00","0.00","1","1"
"85","/new-york/story/jackson-heights-elmhurst/jackson-heights/fundraiser-started-for-couple-who-lost-17-family-members-nepal-quake","2015-04-13","153","fundraiser-started-for-couple-who-lost-17-family-members-nepal-quake","612279","Fundraiser Started for Couple who Lost 17 Family Members in Nepal Quake","<p>Bishnu Man Pradhan and&nbsp;Shruti Amatya live in Jackson Heights but rushed to Nepal after the earthquake.</p>","0.00","0.08","0.03","0.03","0.08","0.00","0.68","-1","7"
"87","/new-york/story/manhattan/top-10-unpretentious-rooftop-bars-manhattan","2015-04-13","321","top-10-unpretentious-rooftop-bars-manhattan","67677","Top 10 Unpretentious Rooftop Bars in Manhattan","Welcome the warm weather at Manhattan's best, and least pretentious, rooftop bars.","0.00","0.08","0.09","0.00","0.00","0.00","0.00","1","2"
